filename,mmol/g_working_capacity,selectivity
DB0-m2_o14_o18_f0_pcu.sym.39,1.793019,68.81314
DB12-IXAKAU_freeONLY,1.518274,51.00549
DB12-IWOSAP_clean,0.928303,3.877015
DB12-BARZOK_freeONLY,0.814042,134.559105
DB1-Cu2O8N2-ADC_A-AZO_A_No1089,1.121778,16.634235
DB12-SAMLAV_manual,1.994548,129.069925
DB0-m3_o24_o44_f0_fsc.sym.22,0.666636,26.3974
DB0-m2_o22_o43_f0_fsc,0.516836,10.42205
DB0-m3_o1530_o22_f0_fsc.sym.12,1.939112,98.120925
DB0-m2_o11_o12_f0_pcu.sym.100,0.278714,5.501055
DB12-NOBVOR_freeONLY,2.694677,286.47534
DB0-m3_o27_o27_f0_pcu.sym.26,0.280606,1.46401
DB0-m3_o1480_o14_f0_fsc.sym.3,2.390646,167.154615
DB0-m2_o12_o28_f0_pcu.sym.104,1.069009,34.52699
DB0-m2_o1_o7_f0_pcu.sym.21,0.939233,38.754
DB0-m2_o22_o27_f0_pcu.sym.47,0.503725,15.29932
DB5-hypotheticalMOF_5055125_0_0_1_28_14_5,0.920368,22.039535
DB5-hypotheticalMOF_5001556_2_2_0_12_10_10,1.426893,110.473585
DB0-m2_o4_o29_f0_nbo.sym.69,0.172004,2.74342
DB5-hypotheticalMOF_22733_0_0_1_0_10_4,0.578611,18.790055
DB12-JISVAJ_clean,1.685784,55.277575
DB0-m3_o1480_o15_f0_fsc.sym.9,1.930156,210.150795
DB0-m3_o24_o520_f0_fsc.sym.8,0.366218,9.67618
DB5-hypotheticalMOF_5066699_1_0_2_8_24_5,0.370697,7.789165
DB0-m2_o7_o59_ins_0.359375_CN,0.232382,1.738125
DB5-hypotheticalMOF_6000339_0_0_3_12_24_11,0.726308,24.13021
DB0-m2_o10_o27_f0_pcu.sym.51,0.892661,35.913455
DB0-m3_o10_o20_f0_pcu.sym.34,0.637791,15.392115
DB12-AMUFOF_clean,2.192657,107.505455
DB5-hypotheticalMOF_22506_1_0_1_0_21_3,0.486393,13.211585
DB5-hypotheticalMOF_5075824_2_0_2_27_17_7,0.354148,3.75995
DB12-AJINOY_clean,0.236464,14.487945
DB12-VAJTUX_freeONLY,1.759462,129.03393
DB0-m3_o155_o1510_f0_fsc.sym.68,1.528007,49.45714
DB5-hypotheticalMOF_16756_1_0_1_9_9_4,0.617626,18.935105
DB0-m2_o3_o16_f0_pcu.sym.20,0.228251,2.319555
DB5-hypotheticalMOF_5035795_3_3_1_18_17_0,1.934377,196.463545
DB12-XUFPIZ_clean,0.322199,134.064515
DB12-BUBTUP_clean,1.845661,191.216945
DB0-m15_o23_o30_jea,0.566404,27.270285
DB5-hypotheticalMOF_5063787_1_0_2_15_26_5,0.359231,3.05222
DB12-MAYYAN_freeONLY,0.215402,23.867515
DB12-FECYUJ_freeONLY,1.341675,69.60441
DB0-m2_o12_o19_f0_pcu.sym.29,0.315269,7.68239
DB0-m3_o13_o23_f0_pcu.sym.19,0.600204,10.473015
DB14-isikif_P1_H,0.556892,46.830045
DB0-m3_o24_o78_f0_fsc.sym.25,1.396014,105.957725
DB10-pcu_sym_6_mc_3__L_1,2.62127,71.969815
DB12-WONXIH_clean,0.501236,113.30798
DB7-ddmof_22371,0.162849,0.985415
DB5-hypotheticalMOF_5037285_1_1_1_18_11_9,1.04329,86.03932
DB12-CEGWER_clean,0.11515,114.42405
