,linker_id,freq,smi
112,L43744,147,[O-]C(=O)C#Cc1cc(C#CC(=O)[O-])cc(c1)C#CC(=O)[O-]
113,L50881,146,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])O)O)O
114,L47752,145,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br
115,L36064,144,[O-]C(=O)C=CC(=CC(=O)[O-])C
116,L50153,143,[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl
117,L36460,143,[CH2]C
118,L32003,142,[O-]C(=O)C#Cc1cc(C)c(c(c1C)C)C#CC(=O)[O-]
119,L54341,142,[O-]C(=O)c1cc(O)c(c(c1O)O)C(=O)[O-]
120,L29790,141,[Cl]
121,L23997,139,BrC(=C(C#CC(=O)[O-])Br)C#CC(=O)[O-]
122,L55534,138,[CH2]OC(=CC=C=[C](=O)[O-])C#CC(=O)[O-]
123,L37778,138,[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-]
124,L52572,138,N#Cc1cc(C#CC(=O)[O-])c(c(c1C#CC(=O)[O-])C#N)C#N
125,L12627,138,COC(=CC#CC(=O)[O-])C#CC(=O)[O-]
126,L21458,137,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])N)N)N
127,L40601,136,[O-]C(=O)C=C(C=C(C(=O)[O-])N)N
128,L22990,136,[O-]C(=O)C=CC(=C(C(=O)[O-])Cl)Cl
129,L20812,134,[O-]C(=O)C#Cc1ccc(c(c1O)O)C#CC(=O)[O-]
130,L43840,134,[O-]C(=O)C#Cc1cc(O)c(c(c1)O)C#CC(=O)[O-]
131,L45078,133,[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])F
132,L49110,131,[O-]C(=O)C#Cc1cc(Br)c(cc1Br)C#CC(=O)[O-]
133,L16702,130,N#CC(=CC(=O)[O-])C=CC(=O)[O-]
134,L47265,130,[O-]C(=O)[C]=CC(=[C]C(=O)[O-])F
135,L16195,130,N#CC=C(C#N)Cl
136,L17132,129,[O-]C(=O)C#Cc1cc(O)c(cc1O)C#CC(=O)[O-]
137,L34942,129,[O-]C(=O)c1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-]
138,L51142,129,N#Cc1ccc(c(c1)F)C#N
139,L48686,129,N#CC(=CC(=O)[O-])C(=C(C(=O)[O-])C#N)C#N
140,L24970,129,[O-]C(=O)C#CC=C(c1ccccc1)C#CC(=O)[O-]
141,L20387,127,CCc1cc(ccc1C(=O)[O-])C(=O)[O-]
142,L8588,127,CCC(=CC=CC(=O)[O-])C(=O)[O-]
143,L30786,126,[O-]C(=O)c1cc(N)c(c(c1N)N)C(=O)[O-]
144,L28735,126,[O-]C(=O)C=CC(=C(C(=O)[O-])Br)Br
145,L32291,125,[O-]C(=O)C#Cc1ccc(c(c1Br)Br)C#CC(=O)[O-]
146,L50298,123,[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F
147,L37755,123,[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])O)O)O
