,filename,mmol/g_working_capacity,selectivity
251,DB0-m3_o10_o23_f0_pcu.sym.38,0.633565,25.090675
252,DB0-m3_o96_o11_f0_fsc.sym.19,1.735903,65.159965
253,DB0-m18_o4_o80_f0_fsc,3.312363,231.121785
254,DB0-m2_o10_o12_f0_pcu.sym.48,1.306867,74.545825
255,DB5-hypotheticalMOF_5060134_0_0_2_12_11_8,0.513534,13.00587
256,DB0-m3_o152_o22_f0_fsc.sym.69,2.677345,113.1582
257,DB0-m3_o114_o13_f0_fsc.sym.6,2.614686,122.478685
258,DB0-m3_o155_o1470_f0_fsc.sym.10,1.912992,82.608565
259,DB0-m2_o24_o29_f0_pcu.sym.67,1.132488,44.794315
260,DB12-VUQJUN_clean,2.66585,103.62318
261,DB13-hxg-Syn030513,1.135587,51.85209
262,DB0-m2_o22_o26_f0_pcu.sym.83,0.497417,9.84165
263,DB5-hypotheticalMOF_7045_1_1_0_11_2_10,1.392094,89.690385
264,DB0-m3_o2_o2_f0_pcu.sym.26,0.166745,3.54898
265,DB12-NAQQIH_clean,3.039089,38.35418
266,DB0-m2_o5_o14_f0_nbo.sym.27,0.136702,2.938225
267,DB5-hypotheticalMOF_5047859_1_0_1_19_16_8,0.311668,3.592585
268,DB1-Zn2O8N2-AZO_A-irmof14_A_No511,0.507637,9.45499
269,DB0-m3_o146_o22_f0_fsc.sym.3,1.955783,68.26267
270,DB0-m18_o5_o16_f0_pcu,1.096007,39.955945
271,DB12-JUWBIO_freeONLY,1.86082,219.49527
272,DB0-m2_o13_o24_f0_pcu.sym.8,0.494854,27.14539
273,DB12-TISPAO_clean,0.693134,41.69939
274,DB5-hypotheticalMOF_5052044_1_0_1_27_11_3,0.201237,2.866115
275,DB5-hypotheticalMOF_5048761_3_0_1_19_19_6,0.472209,4.747255
276,DB0-m2_o12_o25_f0_pcu.sym.35,0.599281,11.96226
277,DB12-IFEHUY_clean,1.907387,76.346395
278,DB0-m2_o14_o20_f0_pcu.sym.58,0.548122,17.09585
279,DB0-m3_o12_o21_f0_pcu.sym.47,0.268602,3.53018
280,DB0-m3_o11_o25_f0_pcu.sym.152,0.631463,12.939055
281,DB12-PUFXIZ_clean,1.192016,131.820045
282,DB6-cuf_9484,0.366098,5.388645
283,DB7-ddmof_22870,0.139244,2.823575
284,DB12-PENZUE_freeONLY,0.092796,3.78467
285,DB0-m3_o17_o25_f0_pcu.sym.106,0.470183,11.40617
286,DB0-m2_o17_o21_f0_pcu.sym.26,0.34073,3.899555
287,DB0-m2_o8_o18_f0_pcu.sym.25,0.219674,2.76985
288,DB0-m3_o10_o25_f0_pcu.sym.16,1.369365,57.181865
289,DB0-m2_o12_o27_f0_pcu.sym.108,0.776241,26.754025
290,DB5-hypotheticalMOF_28050_0_0_2_2_17_12,1.317617,33.20161
291,DB5-hypotheticalMOF_33403_0_0_2_13_17_14,0.932555,16.66224
292,DB5-hypotheticalMOF_6000355_0_0_3_12_4_6,0.027539,0.588635
293,DB12-OLEKUM_manual,0.803141,43.14493
294,DB5-hypotheticalMOF_35272_0_0_2_5_10_11,2.398717,179.82492
295,DB12-VUCDAA_clean,1.698646,147.567085
296,DB5-hypotheticalMOF_21403_1_0_1_11_9_6,0.613968,18.277675
297,DB12-VASFAZ_clean,2.544342,135.175025
298,DB15-pcu_N123_E223_opt,0.623306,6.680495
299,DB0-m3_o90_o22_f0_fsc.sym.21,1.422105,77.571395
300,DB0-m2_o17_o21_f0_pcu.sym.6,0.23777,3.47454
301,DB0-m3_o12_o22_f0_pcu.sym.4,0.816422,36.39827
302,DB12-GULWOA_clean,2.140916,158.56191
303,DB5-hypotheticalMOF_3001075_1_0_1_34_34_11,0.628067,17.641505
304,DB12-AGIMOU_clean,1.343429,371.97494
305,DB0-m3_o22_o25_f0_pcu.sym.40,1.270949,52.353835
306,DB1-Zn2O8N2-irmof6_A-irmof8_A_No342,0.994484,47.71613
307,DB12-FAVGUH_freeONLY,0.586322,102.23661
308,DB12-ROGSAI_clean,2.170417,80.647465
309,DB12-TIVYAZ01_clean,2.056774,59.342885
310,DB12-IKOPIJ_freeONLY,1.698571,86.5638
311,DB5-hypotheticalMOF_5046465_0_0_1_19_7_3,0.457061,20.950835
312,DB5-hypotheticalMOF_5068718_1_1_2_20_16_2,1.297939,105.83544
313,DB12-XUKLAS_clean,1.611874,503.93475
314,DB7-ddmof_22064,0.151349,2.20289
315,DB12-EVUBAY_clean,0.375587,5.379885
316,DB0-m3_o24_o25_f0_pcu.sym.14,0.464279,10.35853
317,DB12-COQJAV_freeONLY,1.682418,108.93915
318,DB5-hypotheticalMOF_5039752_0_0_1_15_11_14,1.990852,75.91195
319,DB5-hypotheticalMOF_5046808_2_0_1_19_25_3,0.111784,2.065975
320,DB12-QOHTUD_freeONLY,0.458053,47.154615
321,DB0-m3_o24_o430_f0_fsc.sym.19,1.351096,81.87206
322,DB0-m3_o13_o24_f0_pcu.sym.28,0.493751,11.73722
323,DB5-hypotheticalMOF_5047180_1_1_1_19_10_4,2.064278,139.178185
